CustomerID,Name,Phone,Address,Gender,Email,DOB
1,Benn Greenshiels,662-896-1247,4 Carey Way,Male,bgreenshiels0@deviantart.com,1990-02-16
2,Daniele Hamly,514-662-9637,798 Division Hill,Female,dhamly1@mtv.com,1982-02-20
3,Gerardo Heustice,663-615-1271,2126 Stone Corner Park,Male,gheustice2@oaic.gov.au,1995-03-25
4,Pam Crumbleholme,540-179-6967,60424 Clarendon Circle,Female,pcrumbleholme3@fastcompany.com,1992-06-05
5,Aldon Poutress,357-478-0496,2 Quincy Center,Male,apoutress4@constantcontact.com,1988-06-25
6,Lindy Arbon,541-401-8808,95229 Johnson Hill,Male,larbon5@google.es,1991-10-10
7,Petr Fransman,459-898-2346,4474 Sugar Park,Male,pfransman6@yahoo.co.jp,1992-06-23
8,Kipp Dunthorne,408-430-8276,15753 Linden Alley,Female,kdunthorne7@answers.com,1993-10-31
9,Roley Oats,831-187-2589,9457 Susan Avenue,Male,roats8@google.co.uk,1985-10-18
10,Josselyn Golda,353-691-5343,4170 7th Point,Female,jgolda9@slashdot.org,1990-09-19
11,Jerrilee Wasson,540-198-4333,82 Merry Alley,Female,jwassona@studiopress.com,1987-04-16
12,Debi Bellany,987-514-6787,71047 Hansons Way,Female,dbellanyb@ucla.edu,1986-11-01
13,Mona Starkie,768-887-6279,685 Dixon Hill,Female,mstarkiec@disqus.com,1985-03-15
14,Drew Hedman,603-186-6382,8125 Upham Alley,Male,dhedmand@washington.edu,1985-07-10
15,Herman Warnock,206-338-8154,47 Banding Avenue,Male,hwarnocke@comcast.net,1986-04-18
16,Valida Bidnall,747-690-0379,1 Packers Drive,Female,vbidnallf@kickstarter.com,1993-12-09
17,Saxon Dunrige,541-550-1804,5741 Coolidge Avenue,Male,sdunrigeg@noaa.gov,1985-08-04
18,Cornelius O'Docherty,662-730-8517,03461 Muir Circle,Male,codochertyh@jalbum.net,1990-10-13
19,Adan Warwicker,995-298-7544,9 Ohio Trail,Female,awarwickeri@studiopress.com,1983-01-11
20,Ben Guare,216-291-0946,6082 Amoth Alley,Male,bguarej@newsvine.com,1993-06-07
21,Oona Withinshaw,322-792-8093,745 Dwight Parkway,Female,owithinshawk@illinois.edu,1997-08-11
22,Hedi Ansty,937-509-1526,91112 Oak Valley Circle,Female,hanstyl@cocolog-nifty.com,1989-03-01
23,Fred Otson,944-139-6100,0938 Beilfuss Road,Male,fotsonm@ebay.com,1988-05-25
24,Thaddeus Flucks,645-305-3263,8121 Basil Street,Male,tflucksn@blogtalkradio.com,1981-09-01
25,Melinda McManamon,140-334-0287,795 Clarendon Junction,Female,mmcmanamono@vinaora.com,1988-08-10
26,Renell Crispe,736-657-0339,12055 Golf Court,Female,rcrispep@google.nl,1991-12-15
27,Cher Consadine,241-173-4805,13 Bayside Crossing,Female,cconsadineq@bigcartel.com,1987-07-21
28,Lawrence Starsmore,965-928-3988,69307 Westend Alley,Male,lstarsmorer@smugmug.com,1988-01-18
29,Clarence Manwell,739-187-1393,45686 Browning Lane,Male,cmanwells@fastcompany.com,1998-01-08
30,Pat Fattorini,765-379-8398,4 Scofield Court,Female,pfattorinit@toplist.cz,1999-09-21
31,Kane Guirard,562-648-6403,0 Laurel Avenue,Male,kguirardu@yellowbook.com,1988-12-22
32,Skipp Borwick,365-267-6852,1 Fieldstone Plaza,Male,sborwickv@nhs.uk,1993-08-06
33,Kirsten Zupone,599-290-3061,118 Aberg Parkway,Female,kzuponew@apple.com,2000-02-09
34,Katerine Chazelle,684-802-7055,87 Esker Street,Female,kchazellex@netvibes.com,1998-12-25
35,Tracy Parell,425-379-6924,453 Morning Alley,Female,tparelly@marketwatch.com,1988-11-20
36,Adrea Mildmott,206-999-7240,45323 Shasta Plaza,Female,amildmottz@berkeley.edu,1986-08-22
37,Benn Emerton,904-207-0161,76 Waubesa Avenue,Male,bemerton10@com.com,1997-09-03
38,Cornell Martyntsev,720-395-8299,0 Crownhardt Parkway,Male,cmartyntsev11@elpais.com,1996-11-20
