StaffID,Name,Phone,Address,Gender,Email,DOB
1,Randie Seagar,490-263-0144,3148 Novick Hill,Male,rseagar0@prlog.org,1979-01-23
2,Penni Dalbey,124-185-9700,3 Bobwhite Terrace,Female,pdalbey1@marriott.com,1980-05-01
3,Marline Albone,926-262-2534,4483 Main Way,Female,malbone2@geocities.com,1987-03-28
4,Tades Davley,190-194-2947,338 Schlimgen Junction,Male,tdavley3@umich.edu,1976-12-05
5,Reider Shurmore,662-417-7165,1214 Morningstar Terrace,Male,rshurmore4@mit.edu,1988-03-14
6,Alister Miles,781-284-6524,185 Holy Cross Junction,Male,amiles5@moonfruit.com,1975-10-20
7,Rahel Velez,124-637-1356,66 Main Point,Female,rvelez6@marriott.com,1988-03-29
8,Rodie Byrnes,870-201-3171,60330 Mifflin Point,Female,rbyrnes7@epa.gov,1974-10-02
9,Boone Luckman,306-153-1843,55801 Linden Terrace,Male,bluckman8@omniture.com,1971-07-19
10,Tarrance Leaver,185-594-9195,6 Fremont Avenue,Male,tleaver9@hp.com,1990-07-24
11,Gwynne Fley,341-120-6373,12 Cottonwood Junction,Female,gfleya@cocolog-nifty.com,1976-04-13
12,Chelsae Orris,972-259-4316,89514 Crownhardt Road,Female,corrisb@sitemeter.com,1984-04-04
13,Virgil Strowlger,123-131-3202,4280 2nd Circle,Male,vstrowlgerc@google.com.hk,1982-02-04
14,Rockey Maseres,943-237-6834,52 Brown Center,Male,rmaseresd@sourceforge.net,1976-04-30
15,Forrester Hubbuck,889-274-8621,2 Spenser Trail,Male,fhubbucke@hibu.com,1971-01-17
16,Alphonse Barrowcliff,887-716-2470,3 Melody Trail,Male,abarrowclifff@reference.com,1981-02-27
17,Michele Bandiera,506-767-2689,12 Porter Park,Male,mbandierag@nba.com,1974-08-03
18,Pearl Dooney,300-695-3587,56 Dawn Plaza,Female,pdooneyh@dmoz.org,1980-01-14
19,Penelope Dunderdale,425-165-6140,52937 Green Ridge Park,Female,pdunderdalei@nsw.gov.au,1986-04-25
20,Adrea Luty,157-411-8125,97 Barnett Park,Female,alutyj@businessinsider.com,1987-03-15
21,Phyllida Eustanch,673-781-7219,57 Sachtjen Street,Female,peustanchk@blogtalkradio.com,1975-12-20
22,Kattie Hruska,976-501-3425,6822 Rieder Alley,Female,khruskal@ted.com,1988-04-08
23,Letta Billham,720-847-9411,92 Briar Crest Place,Female,lbillhamm@free.fr,1988-05-15
24,Cos Romand,418-846-9883,62 Coolidge Avenue,Male,cromandn@msn.com,1985-07-16
25,Timothea Trevillion,400-583-8575,747 American Ash Lane,Female,ttrevilliono@google.de,1977-02-15
26,Roxie Verzey,695-972-0249,6 Redwing Center,Female,rverzeyp@hexun.com,1972-02-12
27,Colver Chevers,708-906-1248,6 Melrose Circle,Male,ccheversq@seattletimes.com,1977-12-23
28,Klaus Baudinet,432-301-3037,77968 Fulton Lane,Male,kbaudinetr@usnews.com,1983-08-25
29,Barbie Diess,625-510-3894,9685 Helena Crossing,Female,bdiesss@fastcompany.com,1971-02-25
30,Mona Ahearne,479-200-7159,6 Troy Center,Female,mahearnet@indiegogo.com,1977-08-14
